class,count,percentage,count_minmax
age,7992,0.16757527467919148,0.9657142857142857
ethnicity,7961,0.16692527048561603,0.7885714285714286
gender,7973,0.16717688501216138,0.8571428571428571
not_cyberbullying,7945,0.16658978445022227,0.6971428571428572
other_cyberbullying,7823,0.1640317034303447,0.0
religion,7998,0.16770108194246414,1.0
