Model,accuracy,precision,recall,f1,macro_f1,f1_not_cyberbullying,f1_other_cyberbullying,weak_f1_avg,balance_score
Linear SVM (tuned),0.8182199391969808,0.8186699569886065,0.8182199391969808,0.818227004666769,0.8172727004865895,0.5477338476374156,0.5908245505269684,0.5692791990821919,0.6937531018744805
Random Forest,0.7980920431911102,0.818898127297651,0.7980920431911102,0.8024277716750237,0.8015168810274388,0.47732030704815076,0.5985514743921366,0.5379358907201437,0.6701818311975837
Naive Bayes (tuned),0.7605619037634972,0.7563341569751967,0.7605619037634972,0.7557336528097061,0.7548097867394935,0.47859116022099446,0.5379609544468547,0.5082760573339246,0.6320048550718154
