vectorizer_type,fit_predict_seconds,uses_keyword_branch,accuracy,precision,recall,f1,macro_f1,f1_not_cyberbullying,f1_other_cyberbullying,weak_f1_avg,balance_score
tfidf_hybrid,5.85,False,0.8184296047803753,0.8189728648807021,0.8184296047803753,0.8184784370448895,0.8175285039512197,0.5485530546623795,0.5921337875503252,0.5703434211063523,0.6944109290756209
tfidf_hybrid_keywords,6.85,True,0.8182199391969808,0.8186699569886065,0.8182199391969808,0.818227004666769,0.8172727004865895,0.5477338476374156,0.5908245505269684,0.5692791990821919,0.6937531018744805
tfidf,1.44,False,0.8107768109864766,0.8128916447312887,0.8107768109864766,0.8114182168976737,0.8104794863806352,0.5365069154068832,0.5894929749541845,0.5629999451805339,0.6872090810391038
bow,1.78,False,0.8068979976936785,0.8108867057717292,0.8068979976936785,0.8087296950168483,0.8077393264152412,0.5484764542936288,0.5669191919191919,0.5576978231064104,0.6832137590616294
