model,best_score_cv_f1_weighted,best_params
Logistic Regression,0.8121982363121738,"{""C"": 1.0, ""class_weight"": ""balanced""}"
Gradient Boosting,0.8085063078660689,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 150}"
