Model,accuracy,precision,recall,f1
Logistic Regression (tuned),0.8113009749449628,0.8165809361323711,0.8113009749449628,0.8134153024086033
Gradient Boosting (tuned),0.8124541356536324,0.8291362986827652,0.8124541356536324,0.8101192611187492
Naive Bayes,0.7567879232623965,0.7492560010151461,0.7567879232623965,0.7478076361370286
